"Statistic Label","CensusYear","Sex","Single Year of Age","Administrative Counties","UNIT","VALUE"
"Population","2022","Female","4 years","Ireland","Number","29819"
"Population","2022","Female","5 years","Ireland","Number","31342"
"Population","2022","Female","6 years","Ireland","Number","32622"
"Population","2022","Female","7 years","Ireland","Number","33572"
"Population","2022","Female","8 years","Ireland","Number","34437"
"Population","2022","Female","9 years","Ireland","Number","35227"
"Population","2022","Female","10 years","Ireland","Number","36066"
"Population","2022","Female","11 years","Ireland","Number","36863"
"Population","2022","Female","12 years","Ireland","Number","37297"
"Population","2022","Female","13 years","Ireland","Number","36782"
"Population","2022","Female","14 years","Ireland","Number","36080"
"Population","2022","Female","15 years","Ireland","Number","34492"
"Population","2022","Female","16 years","Ireland","Number","33168"
"Population","2022","Female","17 years","Ireland","Number","33045"
"Population","2022","Female","18 years","Ireland","Number","32852"
"Population","2022","Female","19 years","Ireland","Number","31729"
"Population","2022","Female","20 years","Ireland","Number","31624"
"Population","2022","Female","21 years","Ireland","Number","29890"
"Population","2022","Female","22 years","Ireland","Number","30768"
"Population","2022","Female","23 years","Ireland","Number","30051"
"Population","2022","Female","24 years","Ireland","Number","29364"
"Population","2022","Female","25 years","Ireland","Number","29294"
"Population","2022","Female","26 years","Ireland","Number","28864"
"Population","2022","Female","27 years","Ireland","Number","29528"
"Population","2022","Female","28 years","Ireland","Number","29788"
"Population","2022","Female","29 years","Ireland","Number","30936"
"Population","2022","Female","30 years","Ireland","Number","32841"
"Population","2022","Female","31 years","Ireland","Number","33710"
"Population","2022","Female","32 years","Ireland","Number","34382"
"Population","2022","Female","33 years","Ireland","Number","34489"
"Population","2022","Female","34 years","Ireland","Number","36284"
"Population","2022","Female","35 years","Ireland","Number","37940"
"Population","2022","Female","36 years","Ireland","Number","39030"
"Population","2022","Female","37 years","Ireland","Number","39193"
"Population","2022","Female","38 years","Ireland","Number","40902"
"Population","2022","Female","39 years","Ireland","Number","42592"
"Population","2022","Female","40 years","Ireland","Number","43143"
"Population","2022","Female","41 years","Ireland","Number","43696"
"Population","2022","Female","42 years","Ireland","Number","43337"
"Population","2022","Female","43 years","Ireland","Number","41408"
"Population","2022","Female","44 years","Ireland","Number","39379"
"Population","2022","Female","45 years","Ireland","Number","38506"
"Population","2022","Female","46 years","Ireland","Number","38127"
"Population","2022","Female","47 years","Ireland","Number","37471"
"Population","2022","Female","48 years","Ireland","Number","37145"
"Population","2022","Female","49 years","Ireland","Number","37081"
"Population","2022","Female","50 years","Ireland","Number","36199"
"Population","2022","Female","51 years","Ireland","Number","35025"
"Population","2022","Female","52 years","Ireland","Number","34414"
"Population","2022","Female","53 years","Ireland","Number","32204"
"Population","2022","Female","54 years","Ireland","Number","32168"
"Population","2022","Female","55 years","Ireland","Number","31563"
"Population","2022","Female","56 years","Ireland","Number","31279"
"Population","2022","Female","57 years","Ireland","Number","31764"
"Population","2022","Female","58 years","Ireland","Number","30660"
"Population","2022","Female","59 years","Ireland","Number","30000"
"Population","2022","Female","60 years","Ireland","Number","29063"
"Population","2022","Female","61 years","Ireland","Number","28856"
"Population","2022","Female","62 years","Ireland","Number","27899"
"Population","2022","Female","63 years","Ireland","Number","26312"
"Population","2022","Female","64 years","Ireland","Number","26109"
"Population","2022","Female","65 years","Ireland","Number","25183"
"Population","2022","Female","66 years","Ireland","Number","24662"
"Population","2022","Female","67 years","Ireland","Number","24524"
"Population","2022","Female","68 years","Ireland","Number","23018"
"Population","2022","Female","69 years","Ireland","Number","23375"
"Population","2022","Female","70 years","Ireland","Number","21897"
"Population","2022","Female","71 years","Ireland","Number","21236"
"Population","2022","Female","72 years","Ireland","Number","21159"
"Population","2022","Female","73 years","Ireland","Number","20134"
"Population","2022","Female","74 years","Ireland","Number","19177"
"Population","2022","Female","75 years","Ireland","Number","18294"
"Population","2022","Female","76 years","Ireland","Number","17665"
"Population","2022","Female","77 years","Ireland","Number","15971"
"Population","2022","Female","78 years","Ireland","Number","14666"
"Population","2022","Female","79 years","Ireland","Number","13938"
"Population","2022","Female","80 years","Ireland","Number","12173"
"Population","2022","Female","81 years","Ireland","Number","11191"
"Population","2022","Female","82 years","Ireland","Number","10759"
"Population","2022","Female","83 years","Ireland","Number","9985"
"Population","2022","Female","84 years","Ireland","Number","8890"
"Population","2022","Female","85 years","Ireland","Number","8303"
"Population","2022","Female","86 years","Ireland","Number","7501"
"Population","2022","Female","87 years","Ireland","Number","6766"
"Population","2022","Female","88 years","Ireland","Number","5927"
"Population","2022","Female","89 years","Ireland","Number","4961"
"Population","2022","Female","90 years","Ireland","Number","4285"
"Population","2022","Female","91 years","Ireland","Number","3781"
"Population","2022","Female","92 years","Ireland","Number","2809"
"Population","2022","Female","93 years","Ireland","Number","2320"
"Population","2022","Female","94 years","Ireland","Number","1737"
"Population","2022","Female","95 years","Ireland","Number","1344"
"Population","2022","Female","96 years","Ireland","Number","956"
"Population","2022","Female","97 years","Ireland","Number","732"
"Population","2022","Female","98 years","Ireland","Number","492"
"Population","2022","Female","99 years","Ireland","Number","336"
"Population","2022","Female","100 years and over","Ireland","Number","584"
